Block_ID,Type,Assembly,Probability,Entropy
43,Left Operand,%rax,0.1,0.33219280948873625
44,Left Operand,%rbp,0.2,0.46438561897747244
44,Instruction,mov,0.3,0.5210896782498619
44,Left Operand,$0x10,0.2,0.46438561897747244
44,Right Operand,%rsp,0.2,0.46438561897747244
45,Left Operand,%rbp,0.2857142857142857,0.5163871205878868
45,Instruction,mov,0.42857142857142855,0.5238824662870492
45,Right Operand,%rbp,0.14285714285714285,0.40105070315108626
45,Right Operand,-0x8(%rbp),0.14285714285714285,0.40105070315108626
45,Right Operand,%rax,0.14285714285714285,0.40105070315108626
45,Right Operand,%ax,0.14285714285714285,0.40105070315108626
46,Left Operand,%rbp,0.1111111111111111,0.3522138890491458
46,Instruction,mov,0.5,0.5
46,Left Operand,$0x20,0.1111111111111111,0.3522138890491458
46,Right Operand,%rsp,0.1111111111111111,0.3522138890491458
46,Right Operand,-0x10(%rbp),0.1111111111111111,0.3522138890491458
47,Left Operand,%rbp,0.2,0.46438561897747244
47,Instruction,mov,0.3,0.5210896782498619
47,Left Operand,$0x10,0.2,0.46438561897747244
47,Right Operand,%rsp,0.2,0.46438561897747244
48,Left Operand,%rbp,0.14285714285714285,0.40105070315108626
48,Instruction,mov,0.5,0.5
48,Left Operand,$0x20,0.14285714285714285,0.40105070315108626
48,Right Operand,%rsp,0.14285714285714285,0.40105070315108626
49,Left Operand,%rbp,0.15384615384615385,0.4154522643293988
49,Instruction,mov,0.38461538461538464,0.5301967781745115
49,Left Operand,$0x20,0.15384615384615385,0.4154522643293988
49,Right Operand,%rsp,0.15384615384615385,0.4154522643293988
50,Left Operand,%rbp,0.3333333333333333,0.5283208335737187
50,Instruction,mov,0.3333333333333333,0.5283208335737187
50,Right Operand,%rbp,0.16666666666666666,0.430827083453526
50,Right Operand,-0x8(%rbp),0.16666666666666666,0.430827083453526
51,Left Operand,%rbp,0.15384615384615385,0.4154522643293988
51,Instruction,mov,0.46153846153846156,0.5148356388092012
51,Left Operand,$0x20,0.15384615384615385,0.4154522643293988
51,Right Operand,%rsp,0.15384615384615385,0.4154522643293988
52,Left Operand,%rbp,0.2857142857142857,0.5163871205878868
52,Instruction,mov,0.42857142857142855,0.5238824662870492
52,Right Operand,%rbp,0.14285714285714285,0.40105070315108626
52,Right Operand,-0x8(%rbp),0.14285714285714285,0.40105070315108626
52,Right Operand,%rax,0.14285714285714285,0.40105070315108626
52,Right Operand,%ax,0.14285714285714285,0.40105070315108626
53,Left Operand,%rbp,0.07142857142857142,0.2719539230041146
53,Instruction,mov,0.4642857142857143,0.5139249161040949
53,Left Operand,$0x20,0.07142857142857142,0.2719539230041146
53,Left Operand,%rdi,0.07142857142857142,0.2719539230041146
53,Right Operand,%rdi,0.14285714285714285,0.40105070315108626
53,Right Operand,%rdx,0.14285714285714285,0.40105070315108626
53,Left Operand,%rax,0.07142857142857142,0.2719539230041146
53,Instruction,call,0.14285714285714285,0.40105070315108626
53,Left Operand,-0x20(%rbp),0.07142857142857142,0.2719539230041146
53,Left Operand,3140 <_ZNSt12_Vector_baseI6CSVRowSaIS0_EE12_Vector_implD2Ev>,0.07142857142857142,0.2719539230041146
54,Left Operand,%rbp,0.15384615384615385,0.4154522643293988
54,Instruction,mov,0.38461538461538464,0.5301967781745115
54,Left Operand,$0x10,0.15384615384615385,0.4154522643293988
54,Right Operand,%rsp,0.15384615384615385,0.4154522643293988
55,Left Operand,%rbp,0.1,0.33219280948873625
55,Instruction,mov,0.4,0.5287712379549449
55,Left Operand,$0x10,0.1,0.33219280948873625
55,Left Operand,-0x8(%rbp),0.15,0.4105448391249309
55,Right Operand,%rax,0.2,0.46438561897747244
55,Left Operand,%rax,0.1,0.33219280948873625
56,Left Operand,%rbp,0.2,0.46438561897747244
56,Instruction,mov,0.3,0.5210896782498619
56,Left Operand,$0x10,0.2,0.46438561897747244
56,Right Operand,%rsp,0.2,0.46438561897747244
57,Left Operand,%rbp,0.2857142857142857,0.5163871205878868
57,Instruction,mov,0.42857142857142855,0.5238824662870492
57,Right Operand,%rbp,0.14285714285714285,0.40105070315108626
57,Right Operand,-0x8(%rbp),0.14285714285714285,0.40105070315108626
57,Right Operand,%rax,0.14285714285714285,0.40105070315108626
57,Right Operand,%ax,0.14285714285714285,0.40105070315108626
58,Left Operand,%rbp,0.1111111111111111,0.3522138890491458
58,Instruction,mov,0.5,0.5
58,Left Operand,$0x20,0.1111111111111111,0.3522138890491458
58,Right Operand,%rsp,0.1111111111111111,0.3522138890491458
58,Right Operand,-0x10(%rbp),0.1111111111111111,0.3522138890491458
59,Left Operand,%rbp,0.2,0.46438561897747244
59,Instruction,mov,0.3,0.5210896782498619
59,Left Operand,$0x10,0.2,0.46438561897747244
59,Right Operand,%rsp,0.2,0.46438561897747244
60,Left Operand,%rbp,0.14285714285714285,0.40105070315108626
60,Instruction,mov,0.5,0.5
60,Left Operand,$0x20,0.14285714285714285,0.40105070315108626
60,Right Operand,%rsp,0.14285714285714285,0.40105070315108626
61,Left Operand,%rbp,0.15384615384615385,0.4154522643293988
61,Instruction,mov,0.38461538461538464,0.5301967781745115
61,Left Operand,$0x20,0.15384615384615385,0.4154522643293988
61,Right Operand,%rsp,0.15384615384615385,0.4154522643293988
62,Left Operand,%rbp,0.2,0.46438561897747244
62,Instruction,mov,0.3,0.5210896782498619
62,Left Operand,$0x10,0.2,0.46438561897747244
62,Right Operand,%rsp,0.2,0.46438561897747244
63,Left Operand,%rbp,0.3333333333333333,0.5283208335737187
63,Instruction,mov,0.3333333333333333,0.5283208335737187
63,Right Operand,%rbp,0.16666666666666666,0.430827083453526
63,Right Operand,-0x8(%rbp),0.16666666666666666,0.430827083453526
64,Left Operand,%rbp,0.09523809523809523,0.32307784978845333
64,Instruction,mov,0.5714285714285714,0.46134566974720237
64,Left Operand,$0x30,0.09523809523809523,0.32307784978845333
64,Right Operand,%rsp,0.09523809523809523,0.32307784978845333
64,Right Operand,%rax,0.09523809523809523,0.32307784978845333
64,Left Operand,%rax,0.14285714285714285,0.40105070315108626
64,Right Operand,%rdi,0.09523809523809523,0.32307784978845333
65,Instruction,mov,0.6232876712328768,0.4251008397260288
65,Right Operand,%rdi,0.136986301369863,0.3928625293140623
65,Right Operand,%rdx,0.07534246575342465,0.2810570023470542
65,Instruction,call,0.1506849315068493,0.41142907318725913
65,Left Operand,-0x70(%rbp),0.0684931506849315,0.26492441534196265
65,Left Operand,%rax,0.19863013698630136,0.46317440649877334
65,Right Operand,%rax,0.136986301369863,0.3928625293140623
65,Right Operand,%rsi,0.0684931506849315,0.26492441534196265
65,Left Operand,-0x48(%rbp),0.0547945205479452,0.22957942788383656
65,Right Operand,%rcx,0.0684931506849315,0.26492441534196265
65,Left Operand,$0x5,0.0273972602739726,0.14218697421589088
65,Left Operand,%rcx,0.0410958904109589,0.18924090649967923
65,Left Operand,-0x50(%rbp),0.0273972602739726,0.14218697421589088
66,Left Operand,%rbp,0.11764705882352941,0.36323092250003997
66,Instruction,mov,0.5294117647058824,0.4857553269571908
66,Left Operand,$0x20,0.11764705882352941,0.36323092250003997
66,Right Operand,%rsp,0.11764705882352941,0.36323092250003997
66,Left Operand,%rax,0.11764705882352941,0.36323092250003997
66,Right Operand,%rdi,0.11764705882352941,0.36323092250003997
67,Left Operand,%rbp,0.2857142857142857,0.5163871205878868
67,Instruction,mov,0.42857142857142855,0.5238824662870492
67,Right Operand,%rbp,0.14285714285714285,0.40105070315108626
67,Right Operand,-0x8(%rbp),0.14285714285714285,0.40105070315108626
67,Right Operand,%rax,0.14285714285714285,0.40105070315108626
67,Right Operand,%ax,0.14285714285714285,0.40105070315108626
68,Instruction,mov,0.559322033898305,0.4688510964425729
68,Right Operand,%rdi,0.15254237288135594,0.4138044479877248
68,Instruction,call,0.15254237288135594,0.4138044479877248
68,Left Operand,-0x38(%rbp),0.1016949152542373,0.33535734392956124
68,Left Operand,%rax,0.2033898305084746,0.4673248573506478
68,Left Operand,3740 <_ZNKSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE4sizeEv>,0.06779661016949153,0.2632300372448706
68,Right Operand,%rax,0.22033898305084745,0.48082446281135144
69,Left Operand,%rbp,0.10526315789473684,0.34188710667827216
69,Instruction,mov,0.5263157894736842,0.48736811502959115
69,Left Operand,$0x20,0.10526315789473684,0.34188710667827216
69,Left Operand,36d0 <_ZNK9__gnu_cxx17__normal_iteratorIPNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt6vectorIS6_SaIS6_EEE4baseEv>,0.10526315789473684,0.34188710667827216
69,Right Operand,%rax,0.21052631578947367,0.47324789756707064
69,Left Operand,%rax,0.10526315789473684,0.34188710667827216
70,Left Operand,%rbp,0.09090909090909091,0.3144937835124816
70,Instruction,mov,0.45454545454545453,0.5170470562499704
70,Left Operand,$0x20,0.09090909090909091,0.3144937835124816
70,Right Operand,%rsp,0.09090909090909091,0.3144937835124816
70,Right Operand,-0x10(%rbp),0.09090909090909091,0.3144937835124816
70,Right Operand,%rax,0.09090909090909091,0.3144937835124816
70,Left Operand,%rax,0.13636363636363635,0.39197306153401923
70,Right Operand,-0x20(%rbp),0.09090909090909091,0.3144937835124816
70,Left Operand,3684 <_ZNSt12_Vector_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE11_M_allocateEm+0x44>,0.09090909090909091,0.3144937835124816
71,Left Operand,%rbp,0.11764705882352941,0.36323092250003997
71,Instruction,mov,0.5294117647058824,0.4857553269571908
71,Left Operand,$0x30,0.11764705882352941,0.36323092250003997
71,Right Operand,%rsp,0.11764705882352941,0.36323092250003997
72,Left Operand,%rbp,0.2857142857142857,0.5163871205878868
72,Instruction,mov,0.42857142857142855,0.5238824662870492
72,Right Operand,%rbp,0.14285714285714285,0.40105070315108626
72,Right Operand,-0x8(%rbp),0.14285714285714285,0.40105070315108626
72,Right Operand,%rax,0.14285714285714285,0.40105070315108626
72,Right Operand,%ax,0.14285714285714285,0.40105070315108626
73,Left Operand,%rbp,0.15384615384615385,0.4154522643293988
73,Instruction,mov,0.38461538461538464,0.5301967781745115
73,Left Operand,$0x10,0.15384615384615385,0.4154522643293988
73,Right Operand,%rsp,0.15384615384615385,0.4154522643293988
74,Left Operand,%rbp,0.15384615384615385,0.4154522643293988
74,Instruction,mov,0.3076923076923077,0.5232122209664899
74,Left Operand,$0x10,0.15384615384615385,0.4154522643293988
74,Right Operand,%rsp,0.15384615384615385,0.4154522643293988
74,Right Operand,%rdi,0.15384615384615385,0.4154522643293988
74,Instruction,call,0.15384615384615385,0.4154522643293988
